pair1,pair2,list,subject,trial_study,trial_test,tType_study,tType_test,gonogo_answer
32,122,1,24,3,4,Binocular,Binocular,go
53,23,1,24,1,3,Not Studied,CFS,go
143,128,1,24,6,7,Binocular,CFS,nogo
141,155,1,24,2,6,CFS,Binocular,go
184,181,1,24,9,2,Binocular,Not Studied,go
172,170,1,24,10,12,Not Studied,CFS,go
56,99,1,24,7,8,Not Studied,Binocular,go
8,153,1,24,4,11,Binocular,Binocular,nogo
85,25,1,24,5,5,CFS,Not Studied,nogo
4,34,2,24,23,21,CFS,Not Studied,go
147,146,2,24,13,19,Not Studied,CFS,nogo
107,64,2,24,15,18,CFS,Binocular,go
25,85,2,24,19,13,Binocular,CFS,go
110,102,2,24,24,15,Not Studied,CFS,go
177,179,2,24,20,22,Binocular,Not Studied,go
16,13,2,24,21,20,CFS,Binocular,go
155,141,2,24,17,17,Binocular,Not Studied,nogo
81,96,2,24,16,16,Not Studied,Binocular,go
161,163,2,24,18,23,Not Studied,Binocular,nogo
45,165,2,24,14,24,Binocular,CFS,go
69,30,2,24,22,14,CFS,Not Studied,go
121,61,3,24,29,25,CFS,CFS,go
95,66,3,24,35,31,Not Studied,CFS,nogo
174,131,3,24,27,27,CFS,CFS,go
117,135,3,24,30,35,Binocular,Binocular,nogo
122,32,3,24,34,33,Not Studied,Not Studied,go
113,76,3,24,26,34,Binocular,Not Studied,go
97,151,3,24,32,36,CFS,CFS,go
111,125,3,24,33,28,Binocular,Binocular,go
163,161,3,24,25,29,Not Studied,Not Studied,nogo
78,98,3,24,31,26,Not Studied,Not Studied,go
52,26,3,24,28,30,Binocular,Binocular,go
11,103,3,24,36,32,CFS,Binocular,go
133,192,4,24,45,45,CFS,Not Studied,go
157,33,4,24,47,47,Not Studied,Binocular,nogo
59,79,4,24,43,37,CFS,CFS,go
154,176,4,24,46,39,Binocular,CFS,go
89,72,4,24,40,44,Not Studied,Binocular,go
119,7,4,24,41,38,Binocular,Not Studied,go
125,111,4,24,38,48,CFS,CFS,go
139,14,4,24,48,40,Binocular,Binocular,go
64,107,4,24,42,41,Not Studied,Not Studied,nogo
43,44,4,24,39,46,Not Studied,Not Studied,go
26,52,4,24,37,43,Binocular,CFS,nogo
62,123,4,24,44,42,CFS,Binocular,go
185,183,5,24,55,50,CFS,Not Studied,go
72,89,5,24,60,55,Not Studied,CFS,nogo
170,172,5,24,57,51,CFS,CFS,go
151,97,5,24,58,60,Binocular,CFS,go
124,100,5,24,56,52,Not Studied,Binocular,go
20,71,5,24,51,57,Binocular,Not Studied,go
71,20,5,24,53,59,CFS,Binocular,nogo
86,29,5,24,54,53,Binocular,Not Studied,nogo
98,78,5,24,49,58,Not Studied,Not Studied,go
159,162,5,24,52,54,Not Studied,Binocular,go
144,140,5,24,50,49,Binocular,CFS,go
181,184,5,24,59,56,CFS,Binocular,go
13,16,6,24,71,69,CFS,Not Studied,go
103,11,6,24,67,66,Not Studied,Binocular,go
129,166,6,24,70,65,CFS,Not Studied,nogo
140,144,6,24,65,72,Binocular,CFS,go
150,156,6,24,68,61,Not Studied,CFS,go
128,143,6,24,62,70,Binocular,Not Studied,go
90,57,6,24,61,68,CFS,Binocular,go
162,159,6,24,63,62,Binocular,Not Studied,go
123,62,6,24,69,64,Not Studied,Binocular,go
7,119,6,24,72,67,Not Studied,CFS,nogo
73,68,6,24,66,71,Binocular,Binocular,nogo
165,45,6,24,64,63,CFS,CFS,go
80,50,7,24,73,81,CFS,Not Studied,go
44,43,7,24,76,75,Not Studied,CFS,go
31,47,7,24,84,74,CFS,Not Studied,go
37,112,7,24,79,78,Binocular,Binocular,go
79,59,7,24,75,73,Not Studied,CFS,go
166,129,7,24,83,76,Binocular,Binocular,go
58,74,7,24,81,84,CFS,CFS,go
99,56,7,24,80,77,Binocular,Not Studied,nogo
47,31,7,24,77,79,Not Studied,CFS,nogo
74,58,7,24,82,83,Not Studied,Binocular,nogo
40,88,7,24,78,82,Binocular,Not Studied,go
167,126,7,24,74,80,CFS,Binocular,go
96,81,8,24,86,89,CFS,Not Studied,nogo
137,28,8,24,89,86,Not Studied,Not Studied,go
76,113,8,24,92,96,CFS,CFS,go
135,117,8,24,93,94,Binocular,Not Studied,go
39,18,8,24,91,88,Not Studied,Binocular,go
66,95,8,24,90,92,Binocular,Binocular,go
145,15,8,24,96,90,CFS,Binocular,go
29,86,8,24,87,87,Binocular,CFS,go
156,150,8,24,85,95,Not Studied,Binocular,nogo
68,73,8,24,94,93,Not Studied,Not Studied,go
23,53,8,24,95,91,Binocular,CFS,nogo
115,118,8,24,88,85,CFS,CFS,go
2,187,9,24,98,98,CFS,Not Studied,go
57,90,9,24,106,108,Not Studied,CFS,go
179,177,9,24,108,105,CFS,Not Studied,go
126,167,9,24,107,104,Binocular,Binocular,go
112,37,9,24,105,106,Not Studied,Not Studied,go
33,157,9,24,101,97,Binocular,CFS,go
100,124,9,24,97,103,CFS,CFS,nogo
3,6,9,24,100,99,Binocular,CFS,go
176,154,9,24,99,101,Not Studied,Not Studied,nogo
6,3,9,24,104,102,Not Studied,Binocular,go
28,137,9,24,103,100,Binocular,Binocular,go
131,174,9,24,102,107,CFS,Binocular,nogo
118,115,10,24,112,120,CFS,CFS,go
34,4,10,24,111,112,Not Studied,Binocular,go
146,147,10,24,115,110,CFS,Not Studied,go
60,191,10,24,119,113,Binocular,Not Studied,nogo
19,189,10,24,120,111,Not Studied,CFS,go
14,139,10,24,109,109,Binocular,CFS,go
102,110,10,24,113,117,CFS,Not Studied,go
30,69,10,24,114,119,Binocular,Binocular,nogo
88,40,10,24,116,114,Not Studied,Binocular,go
15,145,10,24,118,115,Not Studied,CFS,nogo
18,39,10,24,117,118,Binocular,Not Studied,go
183,185,10,24,110,116,CFS,Binocular,go
153,8,1,25,1,7,Not Studied,Not Studied,go
50,80,1,25,4,1,Binocular,Not Studied,nogo
61,121,1,25,2,8,Not Studied,CFS,go
32,122,1,25,5,10,CFS,Binocular,go
53,23,1,25,3,3,Binocular,Not Studied,go
143,128,1,25,6,11,CFS,CFS,go
141,155,1,25,9,5,Not Studied,Binocular,go
184,181,1,25,11,12,CFS,Not Studied,go
172,170,1,25,8,4,Binocular,CFS,go
56,99,1,25,10,6,Binocular,CFS,nogo
8,153,1,25,12,9,CFS,Binocular,go
85,25,1,25,7,2,Not Studied,Binocular,nogo
4,34,2,25,18,22,Not Studied,Binocular,go
147,146,2,25,21,23,Binocular,CFS,go
107,64,2,25,14,18,Not Studied,CFS,nogo
25,85,2,25,23,13,CFS,Not Studied,nogo
110,102,2,25,16,20,Binocular,CFS,go
177,179,2,25,13,24,CFS,Not Studied,go
16,13,2,25,17,19,Not Studied,Not Studied,go
155,141,2,25,20,16,CFS,CFS,go
81,96,2,25,24,14,Binocular,Binocular,nogo
161,163,2,25,15,21,Binocular,Binocular,go
45,165,2,25,19,15,CFS,Not Studied,go
69,30,2,25,22,17,Not Studied,Binocular,go
121,61,3,25,32,28,Not Studied,CFS,go
95,66,3,25,26,32,Binocular,CFS,go
174,131,3,25,33,25,Not Studied,Not Studied,nogo
117,135,3,25,29,26,CFS,Binocular,nogo
122,32,3,25,31,31,Binocular,Not Studied,go
113,76,3,25,36,35,CFS,CFS,go
97,151,3,25,25,27,Not Studied,Not Studied,go
111,125,3,25,28,33,CFS,Binocular,go
163,161,3,25,35,34,Binocular,Binocular,go
78,98,3,25,34,30,Binocular,CFS,nogo
52,26,3,25,30,29,CFS,Binocular,go
11,103,3,25,27,36,Not Studied,Not Studied,go
133,192,4,25,37,38,Not Studied,Binocular,nogo
157,33,4,25,43,46,Binocular,Binocular,go
59,79,4,25,46,41,Not Studied,Binocular,go
154,176,4,25,48,42,CFS,CFS,nogo
89,72,4,25,47,47,Binocular,CFS,go
119,7,4,25,39,40,CFS,CFS,go
125,111,4,25,45,48,Not Studied,Not Studied,go
139,14,4,25,40,37,CFS,Not Studied,nogo
64,107,4,25,38,45,Binocular,Binocular,go
43,44,4,25,41,44,Binocular,CFS,go
26,52,4,25,44,39,CFS,Not Studied,go
62,123,4,25,42,43,Not Studied,Not Studied,go
185,183,5,25,56,55,Not Studied,Not Studied,go
72,89,5,25,51,54,Binocular,CFS,nogo
170,172,5,25,53,49,Not Studied,Not Studied,nogo
151,97,5,25,58,59,CFS,CFS,go
124,100,5,25,55,56,Binocular,CFS,go
20,71,5,25,54,51,CFS,Not Studied,go
71,20,5,25,59,52,Not Studied,CFS,go
86,29,5,25,57,57,CFS,Binocular,go
98,78,5,25,50,58,Binocular,Binocular,go
159,162,5,25,49,50,Binocular,Binocular,nogo
144,140,5,25,60,53,CFS,Binocular,go
181,184,5,25,52,60,Not Studied,Not Studied,go
13,16,6,25,62,70,Not Studied,Binocular,go
103,11,6,25,72,65,Binocular,Binocular,go
129,166,6,25,71,68,Not Studied,CFS,go
140,144,6,25,67,62,CFS,Binocular,nogo
150,156,6,25,64,67,Binocular,Not Studied,go
128,143,6,25,68,71,CFS,CFS,go
90,57,6,25,66,64,Not Studied,CFS,go
162,159,6,25,63,66,CFS,CFS,nogo
123,62,6,25,65,61,Binocular,Not Studied,nogo
7,119,6,25,70,69,Binocular,Binocular,go
73,68,6,25,69,72,CFS,Not Studied,go
165,45,6,25,61,63,Not Studied,Not Studied,go
80,50,7,25,78,79,Not Studied,Not Studied,go
44,43,7,25,77,81,Binocular,Binocular,go
31,47,7,25,84,78,Not Studied,CFS,nogo
37,112,7,25,73,80,CFS,CFS,go
79,59,7,25,80,82,Binocular,Binocular,go
166,129,7,25,82,75,CFS,Not Studied,go
58,74,7,25,81,84,Not Studied,Not Studied,go
99,56,7,25,83,76,CFS,CFS,go
47,31,7,25,76,74,Binocular,Binocular,nogo
74,58,7,25,75,83,Binocular,CFS,go
40,88,7,25,74,73,CFS,Not Studied,nogo
167,126,7,25,79,77,Not Studied,Binocular,go
96,81,8,25,93,95,Not Studied,CFS,go
137,28,8,25,85,90,Binocular,CFS,nogo
76,113,8,25,89,93,Not Studied,Binocular,go
135,117,8,25,95,92,CFS,CFS,go
39,18,8,25,94,91,Binocular,Not Studied,go
66,95,8,25,90,87,CFS,Not Studied,go
145,15,8,25,88,85,Not Studied,Not Studied,nogo
29,86,8,25,96,88,CFS,CFS,go
156,150,8,25,91,89,Binocular,Binocular,go
68,73,8,25,92,96,Binocular,Not Studied,go
23,53,8,25,86,86,CFS,Binocular,nogo
115,118,8,25,87,94,Not Studied,Binocular,go
2,187,9,25,100,101,Not Studied,Binocular,go
57,90,9,25,101,98,Binocular,Binocular,nogo
179,177,9,25,99,106,Not Studied,Binocular,go
126,167,9,25,98,108,CFS,Not Studied,go
112,37,9,25,102,104,Binocular,CFS,go
33,157,9,25,104,99,CFS,Not Studied,go
100,124,9,25,108,97,Not Studied,Not Studied,nogo
3,6,9,25,97,100,CFS,CFS,go
176,154,9,25,105,103,Binocular,Not Studied,go
6,3,9,25,107,107,Binocular,CFS,go
28,137,9,25,103,105,CFS,Binocular,go
131,174,9,25,106,102,Not Studied,CFS,nogo
118,115,10,25,109,118,Not Studied,Binocular,go
34,4,10,25,117,117,Binocular,Binocular,go
146,147,10,25,119,110,Not Studied,Binocular,nogo
60,191,10,25,116,116,CFS,CFS,go
19,189,10,25,113,120,Binocular,Not Studied,go
14,139,10,25,120,112,CFS,CFS,go
102,110,10,25,118,113,Not Studied,Binocular,go
30,69,10,25,114,115,CFS,Not Studied,go
88,40,10,25,110,119,Binocular,CFS,go
15,145,10,25,112,109,Binocular,Not Studied,nogo
18,39,10,25,111,111,CFS,Not Studied,go
183,185,10,25,115,114,Not Studied,CFS,nogo
153,8,1,26,6,4,Binocular,Not Studied,go
50,80,1,26,8,5,CFS,CFS,go
61,121,1,26,12,2,Binocular,CFS,go
32,122,1,26,9,6,Not Studied,Not Studied,go
53,23,1,26,11,3,CFS,Binocular,go
143,128,1,26,7,1,Not Studied,Binocular,go
141,155,1,26,10,7,Binocular,Binocular,go
184,181,1,26,1,9,Not Studied,CFS,go
172,170,1,26,4,10,CFS,CFS,nogo
56,99,1,26,2,11,CFS,Not Studied,go
8,153,1,26,5,12,Not Studied,Binocular,nogo
85,25,1,26,3,8,Binocular,Not Studied,nogo
4,34,2,26,15,17,Binocular,CFS,go
147,146,2,26,21,20,CFS,Not Studied,nogo
107,64,2,26,24,15,Binocular,Binocular,go
25,85,2,26,18,24,Not Studied,Binocular,nogo
110,102,2,26,20,18,CFS,Not Studied,go
177,179,2,26,13,14,Not Studied,CFS,go
16,13,2,26,17,22,Binocular,CFS,nogo
155,141,2,26,14,13,Not Studied,Binocular,go
81,96,2,26,22,19,CFS,Binocular,go
161,163,2,26,23,21,CFS,CFS,go
45,165,2,26,16,23,Not Studied,Not Studied,go
69,30,2,26,19,16,Binocular,Not Studied,go
121,61,3,26,35,33,Binocular,CFS,go
95,66,3,26,28,28,CFS,Not Studied,go
174,131,3,26,31,32,Binocular,Not Studied,nogo
117,135,3,26,25,31,Not Studied,Binocular,go
122,32,3,26,32,30,CFS,Not Studied,go
113,76,3,26,33,29,Not Studied,CFS,go
97,151,3,26,30,35,Binocular,Not Studied,go
111,125,3,26,27,36,Not Studied,Binocular,nogo
163,161,3,26,36,27,CFS,Binocular,go
78,98,3,26,29,34,CFS,CFS,nogo
52,26,3,26,34,26,Not Studied,CFS,go
11,103,3,26,26,25,Binocular,Binocular,go
133,192,4,26,46,48,Binocular,Binocular,nogo
157,33,4,26,42,45,CFS,CFS,go
59,79,4,26,40,37,Binocular,Binocular,go
154,176,4,26,38,43,Not Studied,Binocular,go
89,72,4,26,45,44,CFS,Not Studied,nogo
119,7,4,26,48,41,Not Studied,CFS,go
125,111,4,26,44,46,Binocular,CFS,nogo
139,14,4,26,41,42,Not Studied,Not Studied,go
64,107,4,26,39,47,CFS,Not Studied,go
43,44,4,26,47,40,CFS,Not Studied,go
26,52,4,26,37,39,Not Studied,Binocular,go
62,123,4,26,43,38,Binocular,CFS,go
185,183,5,26,51,54,Binocular,Not Studied,go
72,89,5,26,55,59,CFS,Not Studied,go
170,172,5,26,60,55,Binocular,Binocular,go
151,97,5,26,53,50,Not Studied,CFS,go
124,100,5,26,50,49,CFS,Binocular,go
20,71,5,26,54,58,Not Studied,CFS,nogo
71,20,5,26,59,57,Binocular,CFS,go
86,29,5,26,58,56,Not Studied,Not Studied,nogo
98,78,5,26,56,51,CFS,Binocular,go
159,162,5,26,49,52,CFS,Not Studied,go
144,140,5,26,57,60,Not Studied,Binocular,nogo
181,184,5,26,52,53,Binocular,CFS,go
13,16,6,26,67,64,Binocular,Not Studied,go
103,11,6,26,66,65,CFS,CFS,go
129,166,6,26,64,68,Binocular,Not Studied,nogo
140,144,6,26,69,61,Not Studied,Binocular,go
150,156,6,26,70,63,CFS,Binocular,go
128,143,6,26,68,70,Not Studied,CFS,nogo
90,57,6,26,62,69,Binocular,CFS,go
162,159,6,26,63,62,Not Studied,CFS,go
123,62,6,26,71,71,CFS,Not Studied,go
7,119,6,26,61,67,CFS,Binocular,go
73,68,6,26,65,72,Not Studied,Binocular,nogo
165,45,6,26,72,66,Binocular,Not Studied,go
80,50,7,26,79,73,Binocular,Binocular,go
44,43,7,26,84,83,CFS,Not Studied,go
31,47,7,26,77,84,Binocular,Binocular,nogo
37,112,7,26,82,76,Not Studied,Not Studied,go
79,59,7,26,78,77,CFS,CFS,go
166,129,7,26,83,75,Not Studied,Binocular,go
58,74,7,26,80,82,Binocular,CFS,nogo
99,56,7,26,75,80,Not Studied,Not Studied,nogo
47,31,7,26,81,79,CFS,Binocular,go
74,58,7,26,74,78,CFS,Not Studied,go
40,88,7,26,76,74,Not Studied,CFS,go
167,126,7,26,73,81,Binocular,CFS,go
96,81,8,26,96,85,Binocular,Binocular,go
137,28,8,26,91,86,CFS,CFS,go
76,113,8,26,92,90,Binocular,Not Studied,go
135,117,8,26,85,95,Not Studied,Not Studied,go
39,18,8,26,93,89,CFS,CFS,go
66,95,8,26,87,91,Not Studied,Binocular,go
145,15,8,26,89,93,Binocular,CFS,go
29,86,8,26,94,88,Not Studied,Not Studied,go
156,150,8,26,88,96,CFS,Binocular,nogo
68,73,8,26,86,87,CFS,Binocular,go
23,53,8,26,95,94,Not Studied,CFS,nogo
115,118,8,26,90,92,Binocular,Not Studied,nogo
2,187,9,26,105,102,Binocular,Not Studied,go
57,90,9,26,108,103,CFS,Binocular,go
179,177,9,26,97,100,Binocular,Not Studied,go
126,167,9,26,102,101,Not Studied,CFS,go
112,37,9,26,98,98,CFS,CFS,go
33,157,9,26,100,105,Not Studied,CFS,go
100,124,9,26,104,99,Binocular,Binocular,go
3,6,9,26,103,104,Not Studied,Not Studied,nogo
176,154,9,26,106,106,CFS,CFS,nogo
6,3,9,26,101,108,CFS,Binocular,nogo
28,137,9,26,99,107,Not Studied,Not Studied,go
131,174,9,26,107,97,Binocular,Binocular,go
118,115,10,26,114,113,Binocular,CFS,go
34,4,10,26,115,118,CFS,CFS,nogo
146,147,10,26,112,119,Binocular,Not Studied,go
60,191,10,26,110,115,Not Studied,Binocular,go
19,189,10,26,109,114,CFS,Not Studied,go
14,139,10,26,120,112,Not Studied,Not Studied,go
102,110,10,26,118,117,Binocular,CFS,go
30,69,10,26,111,120,Not Studied,Binocular,nogo
88,40,10,26,119,116,CFS,Not Studied,nogo
15,145,10,26,116,110,CFS,CFS,go
18,39,10,26,117,111,Not Studied,Binocular,go
183,185,10,26,113,109,Binocular,Binocular,go
153,8,1,27,9,3,CFS,CFS,nogo
50,80,1,27,3,2,Not Studied,Not Studied,go
61,121,1,27,6,12,CFS,CFS,go
32,122,1,27,12,7,Binocular,CFS,go
53,23,1,27,8,4,Not Studied,Binocular,nogo
143,128,1,27,10,8,Binocular,Binocular,go
141,155,1,27,1,10,CFS,Not Studied,go
184,181,1,27,7,11,Binocular,Binocular,go
172,170,1,27,5,5,Not Studied,Not Studied,go
56,99,1,27,4,1,Not Studied,CFS,go
8,153,1,27,2,9,Binocular,Not Studied,nogo
85,25,1,27,11,6,CFS,Binocular,go
4,34,2,27,17,22,CFS,Not Studied,go
147,146,2,27,14,21,Not Studied,Not Studied,nogo
107,64,2,27,21,18,CFS,Binocular,go
25,85,2,27,16,24,Binocular,CFS,go
110,102,2,27,15,13,Not Studied,CFS,go
177,179,2,27,19,16,Binocular,Binocular,nogo
16,13,2,27,18,23,CFS,Binocular,go
155,141,2,27,20,20,Binocular,Binocular,go
81,96,2,27,24,17,Not Studied,Not Studied,go
161,163,2,27,23,15,Not Studied,CFS,nogo
45,165,2,27,13,14,Binocular,Not Studied,go
69,30,2,27,22,19,CFS,CFS,go
121,61,3,27,31,34,CFS,Not Studied,go
95,66,3,27,25,27,Not Studied,CFS,nogo
174,131,3,27,26,25,CFS,CFS,go
117,135,3,27,27,26,Binocular,Not Studied,go
122,32,3,27,29,31,Not Studied,CFS,go
113,76,3,27,35,35,Binocular,Binocular,go
97,151,3,27,32,36,CFS,CFS,go
111,125,3,27,30,33,Binocular,Not Studied,nogo
163,161,3,27,34,28,Not Studied,Binocular,nogo
78,98,3,27,33,29,Not Studied,Not Studied,go
52,26,3,27,36,30,Binocular,Binocular,go
11,103,3,27,28,32,CFS,Binocular,go
133,192,4,27,41,46,CFS,Not Studied,go
157,33,4,27,45,40,Not Studied,Binocular,nogo
59,79,4,27,42,45,CFS,Not Studied,nogo
154,176,4,27,46,43,Binocular,CFS,go
89,72,4,27,40,38,Not Studied,Not Studied,go
119,7,4,27,44,47,Binocular,Binocular,go
125,111,4,27,38,44,CFS,Binocular,go
139,14,4,27,43,37,Binocular,CFS,go
64,107,4,27,47,39,Not Studied,CFS,nogo
43,44,4,27,48,48,Not Studied,CFS,go
26,52,4,27,39,42,Binocular,Binocular,go
62,123,4,27,37,41,CFS,Not Studied,go
185,183,5,27,57,58,CFS,Not Studied,go
72,89,5,27,51,53,Not Studied,Not Studied,go
170,172,5,27,55,57,CFS,Not Studied,nogo
151,97,5,27,59,51,Binocular,CFS,nogo
124,100,5,27,58,54,Not Studied,Binocular,go
20,71,5,27,49,52,Binocular,Binocular,nogo
71,20,5,27,50,59,CFS,Binocular,go
86,29,5,27,60,56,Binocular,Binocular,go
98,78,5,27,56,55,Not Studied,CFS,go
159,162,5,27,52,49,Not Studied,CFS,go
144,140,5,27,54,60,Binocular,CFS,go
181,184,5,27,53,50,CFS,Not Studied,go
13,16,6,27,68,63,CFS,CFS,nogo
103,11,6,27,67,61,Not Studied,CFS,go
129,166,6,27,61,67,CFS,CFS,go
140,144,6,27,69,68,Binocular,Binocular,go
150,156,6,27,65,71,Not Studied,Binocular,go
128,143,6,27,66,62,Binocular,Not Studied,go
90,57,6,27,70,72,CFS,CFS,go
162,159,6,27,71,66,Binocular,Binocular,go
123,62,6,27,63,65,Not Studied,Not Studied,go
7,119,6,27,64,64,Not Studied,Binocular,nogo
73,68,6,27,62,69,Binocular,Not Studied,nogo
165,45,6,27,72,70,CFS,Not Studied,go
80,50,7,27,73,83,CFS,Binocular,go
44,43,7,27,77,80,Not Studied,Binocular,go
31,47,7,27,82,81,CFS,Not Studied,nogo
37,112,7,27,79,78,Binocular,Binocular,go
79,59,7,27,83,77,Not Studied,Not Studied,go
166,129,7,27,74,74,Binocular,Not Studied,go
58,74,7,27,84,79,CFS,CFS,go
99,56,7,27,81,84,Binocular,CFS,go
47,31,7,27,76,76,Not Studied,Binocular,nogo
74,58,7,27,80,75,Not Studied,CFS,nogo
40,88,7,27,75,82,Binocular,Not Studied,go
167,126,7,27,78,73,CFS,CFS,go
96,81,8,27,85,89,CFS,Not Studied,go
137,28,8,27,89,94,Not Studied,Not Studied,go
76,113,8,27,86,88,CFS,Binocular,nogo
135,117,8,27,88,91,Binocular,CFS,go
39,18,8,27,93,85,Not Studied,CFS,go
66,95,8,27,91,86,Binocular,Not Studied,go
145,15,8,27,87,92,CFS,Binocular,go
29,86,8,27,94,87,Binocular,CFS,nogo
156,150,8,27,96,96,Not Studied,CFS,go
68,73,8,27,90,90,Not Studied,Binocular,go
23,53,8,27,92,93,Binocular,Not Studied,nogo
115,118,8,27,95,95,CFS,Binocular,go
2,187,9,27,105,100,CFS,Binocular,nogo
57,90,9,27,107,107,Not Studied,Binocular,go
179,177,9,27,102,99,CFS,CFS,nogo
126,167,9,27,108,102,Binocular,Binocular,go
112,37,9,27,97,98,Not Studied,Not Studied,go
33,157,9,27,100,103,Binocular,CFS,go
100,124,9,27,101,105,CFS,Not Studied,nogo
3,6,9,27,98,97,Binocular,CFS,go
176,154,9,27,99,101,Not Studied,Not Studied,go
6,3,9,27,103,106,Not Studied,Not Studied,go
28,137,9,27,104,108,Binocular,CFS,go
131,174,9,27,106,104,CFS,Binocular,go
118,115,10,27,111,112,CFS,Binocular,nogo
34,4,10,27,115,110,Not Studied,Not Studied,go
146,147,10,27,114,119,CFS,Binocular,go
60,191,10,27,112,114,Binocular,Binocular,go
19,189,10,27,117,109,Not Studied,CFS,go
14,139,10,27,113,120,Binocular,CFS,go
102,110,10,27,116,111,CFS,CFS,nogo
30,69,10,27,119,118,Binocular,Not Studied,go
88,40,10,27,110,115,Not Studied,CFS,go
15,145,10,27,109,117,Not Studied,Not Studied,nogo
18,39,10,27,120,116,Binocular,Binocular,go
183,185,10,27,118,113,CFS,Not Studied,go
153,8,1,28,9,2,Not Studied,Binocular,go
50,80,1,28,8,4,Binocular,CFS,go
61,121,1,28,3,8,Not Studied,CFS,go
32,122,1,28,11,5,CFS,Binocular,nogo
53,23,1,28,2,10,Binocular,Binocular,go
143,128,1,28,4,3,CFS,Not Studied,go
141,155,1,28,10,11,Not Studied,CFS,nogo
184,181,1,28,6,9,CFS,Binocular,go
172,170,1,28,7,1,Binocular,Not Studied,go
56,99,1,28,5,7,Binocular,Not Studied,nogo
8,153,1,28,12,6,CFS,CFS,go
85,25,1,28,1,12,Not Studied,Not Studied,go
4,34,2,28,14,17,Not Studied,Binocular,nogo
147,146,2,28,16,14,Binocular,Binocular,go
107,64,2,28,21,18,Not Studied,CFS,go
25,85,2,28,17,22,CFS,Binocular,go
110,102,2,28,18,19,Binocular,Not Studied,nogo
177,179,2,28,24,20,CFS,CFS,go
16,13,2,28,15,21,Not Studied,Binocular,go
155,141,2,28,20,13,CFS,Not Studied,go
81,96,2,28,23,16,Binocular,CFS,go
161,163,2,28,19,24,Binocular,Not Studied,go
45,165,2,28,22,23,CFS,CFS,nogo
69,30,2,28,13,15,Not Studied,Not Studied,go
121,61,3,28,29,27,Not Studied,Not Studied,go
95,66,3,28,31,35,Binocular,CFS,nogo
174,131,3,28,27,25,Not Studied,Not Studied,go
117,135,3,28,26,31,CFS,Not Studied,nogo
122,32,3,28,30,29,Binocular,Binocular,nogo
113,76,3,28,28,34,CFS,Binocular,go
97,151,3,28,34,33,Not Studied,Binocular,go
111,125,3,28,33,26,CFS,Binocular,go
163,161,3,28,32,30,Binocular,CFS,go
78,98,3,28,36,28,Binocular,CFS,go
52,26,3,28,25,32,CFS,CFS,go
11,103,3,28,35,36,Not Studied,Not Studied,go
133,192,4,28,38,40,Not Studied,CFS,go
157,33,4,28,39,42,Binocular,CFS,go
59,79,4,28,48,47,Not Studied,CFS,nogo
154,176,4,28,46,43,CFS,Not Studied,nogo
89,72,4,28,45,45,Binocular,Binocular,go
119,7,4,28,40,39,CFS,Not Studied,go
125,111,4,28,37,41,Not Studied,Binocular,nogo
139,14,4,28,47,48,CFS,Not Studied,go
64,107,4,28,42,37,Binocular,Not Studied,go
43,44,4,28,43,44,Binocular,CFS,go
26,52,4,28,41,46,CFS,Binocular,go
62,123,4,28,44,38,Not Studied,Binocular,go
185,183,5,28,59,53,Not Studied,Binocular,nogo
72,89,5,28,57,50,Binocular,Binocular,go
170,172,5,28,52,56,Not Studied,CFS,go
151,97,5,28,51,55,CFS,Not Studied,nogo
124,100,5,28,58,57,Binocular,Binocular,go
20,71,5,28,56,54,CFS,CFS,go
71,20,5,28,53,51,Not Studied,Not Studied,go
86,29,5,28,54,59,CFS,CFS,nogo
98,78,5,28,60,49,Binocular,Not Studied,go
159,162,5,28,55,60,Binocular,Not Studied,go
144,140,5,28,50,58,CFS,Binocular,go
181,184,5,28,49,52,Not Studied,CFS,go
13,16,6,28,67,65,Not Studied,Binocular,nogo
103,11,6,28,63,68,Binocular,CFS,go
129,166,6,28,66,64,Not Studied,CFS,go
140,144,6,28,70,70,CFS,Binocular,go
150,156,6,28,62,61,Binocular,Not Studied,go
128,143,6,28,61,62,CFS,Binocular,go
90,57,6,28,71,72,Not Studied,Not Studied,go
162,159,6,28,64,69,CFS,Binocular,go
123,62,6,28,65,71,Binocular,CFS,nogo
7,119,6,28,69,66,Binocular,CFS,go
73,68,6,28,72,67,CFS,Not Studied,nogo
165,45,6,28,68,63,Not Studied,Not Studied,go
80,50,7,28,80,73,Not Studied,Not Studied,go
44,43,7,28,84,78,Binocular,CFS,go
31,47,7,28,77,84,Not Studied,Not Studied,go
37,112,7,28,76,79,CFS,Not Studied,nogo
79,59,7,28,73,82,Binocular,Binocular,go
166,129,7,28,79,77,CFS,Binocular,nogo
58,74,7,28,75,76,Not Studied,CFS,go
99,56,7,28,82,80,CFS,CFS,go
47,31,7,28,78,81,Binocular,Binocular,go
74,58,7,28,74,83,Binocular,CFS,nogo
40,88,7,28,81,74,CFS,Binocular,go
167,126,7,28,83,75,Not Studied,Not Studied,go
96,81,8,28,88,86,Not Studied,Binocular,go
137,28,8,28,94,93,Binocular,Binocular,go
76,113,8,28,92,96,Not Studied,Not Studied,go
135,117,8,28,86,87,CFS,Not Studied,go
39,18,8,28,91,91,Binocular,Not Studied,nogo
66,95,8,28,93,89,CFS,Binocular,nogo
145,15,8,28,89,90,Not Studied,CFS,go
29,86,8,28,87,94,CFS,Binocular,go
